"gene_name"	"n_syn"	"n_mis"	"n_non"	"n_spl"	"n_ind"	"wmis_cv"	"wnon_cv"	"wspl_cv"	"wind_cv"	"pmis_cv"	"ptrunc_cv"	"pallsubs_cv"	"pind_cv"	"qmis_cv"	"qtrunc_cv"	"qallsubs_cv"	"qind_cv"	"pglobal_cv"	"qglobal_cv"
"MUC5B"	0	0	0	0	0	0	0	0	0	0.632333080129644	0.932862674245425	0.888692853735938	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.993561809349701	0.999999999886752
"MACF1"	0	0	0	0	0	0	0	0	0	0.644768889351784	0.90753434771221	0.893128415718324	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.994074170815179	0.999999999886752
"MUC4"	0	0	0	0	0	0	0	0	0	0.640068231655693	0.955576717949847	0.895047937087776	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.994289063285224	0.999999999886752
"DST"	0	0	0	0	0	0	0	0	0	0.653472484785459	0.909562034778986	0.898322139090169	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.994646118818979	0.999999999886752
"MUC12"	0	0	0	0	0	0	0	0	0	0.653838577804056	0.960907785890286	0.903256580927229	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.995161694387309	0.999999999886752
"SYNE2"	0	0	0	0	0	0	0	0	0	0.667855716567403	0.905916563374226	0.90570211266462	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.995407216267591	0.999999999886752
"FCGBP"	0	0	0	0	0	0	0	0	0	0.663126314141152	0.927686876551265	0.905749633536217	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.995411921717157	0.999999999886752
"RYR1"	0	0	0	0	0	0	0	0	0	0.667155021889812	0.910807501077599	0.905970748546208	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.995433783424939	0.999999999886752
"PLEC"	0	0	0	0	0	0	0	0	0	0.669194997542966	0.93133880977809	0.90938710367449	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.995764709206921	0.999999999886752
"RNF213"	0	0	0	0	0	0	0	0	0	0.674790001354671	0.921008985936193	0.911246676790886	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.995939439686055	0.999999999886752
"GPR98"	0	0	0	0	0	0	0	0	0	0.680664887044002	0.917582254641376	0.913891708247679	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.996181438160907	0.999999999886752
"KMT2D"	0	0	0	0	0	0	0	0	0	0.67891883440296	0.932371599739754	0.914595448600672	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.996244534303865	0.999999999886752
"HSPG2"	0	0	0	0	0	0	0	0	0	0.681583108199507	0.919611164821097	0.914600993332923	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.996245029284402	0.999999999886752
"AHNAK2"	0	0	0	0	0	0	0	0	0	0.677551384661785	0.950360568383936	0.915407986789342	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.996316711558699	0.999999999886752
"LRP1"	0	0	0	0	0	0	0	0	0	0.684356491844282	0.918282004693788	0.915857323117629	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.996356316079069	0.999999999886752
"UBR4"	0	0	0	0	0	0	0	0	0	0.68548870476433	0.913588449581876	0.915858033226886	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.996356378493625	0.999999999886752
